Title,JobDescription,JobRequirment,RequiredQual,IT
Chief of Party,"DAI is seeking candidates for long-term resident
position(s) in the field of agribusiness for an upcoming USAID-funded
agribusiness development program in Ghana. Candidates should have hands
on experience in Agribusiness from production to marketing, as well as
the proven ability to locate markets and establish linkages with
producers/ exporters.
Specific Areas of Expertise Sought:
- Tropical agricultural production (especially high-value horticulture)
for export, including sanitary and phytosanitary requirements and
broader certification approaches such as EUREP-GAP;
- Agribusiness Development;
- Agribusiness marketing; Export Promotion; proven ability to ""make
deals"" and move product;
- Post-harvest handling; Food processing;
- Producer association development;
- Horticultural and specialty export crops;
- Market information systems; International trade; and
- Agricultural finance and investment promotion.",,"- Educational background in business or agriculture;
- Minimum 10 years of experience in agribusiness with the focus on
marketing;
- Work experience in international or prominent Agribusiness companies;
- Regional experience in West Africa, preferably Ghana, or appropriate
other Africa experience (E.g. Kenya, Uganda); as well as thorough
knowledge of European markets and standards; and
- Experience in developing market linkages for domestic, regional, and
international markets in Africa;
- Previous long-term experience implementing agricultural and
agribusiness development activities on USAID-funded projects. 
REMUNERATION:  Level of responsibility and salary commensurate with
background and experience.",False
Quality Assurance/ Health Systems Management Advisor,"Initiatives Inc. seeks a Quality Assurance/ Health
Systems Management Advisor for a multi-year assignment.","- Provides technical and managerial leadership for primary health care
improvement and management systems development;
- Provides technical assistance for certification and accreditation;
- Designs and manages program activities;
- Manages administration, finances and staff;
- Collaborates with partners at MOH;
- Provides managerial support to COP;
- Coordinates annual workplans, project reporting, and project reviews
for QA, HR and management activities .Assists COP in ensuring that USAID
requirements are met;
- Works with senior management team to develop annual work plans .Builds
the capacity of local staff to manage project activities.","- MD or DrPH and experience/ qualifications in public health, health
systems management, HR management and quality assurance;
- 7-10 years field experience;
- A minimum of 5 years of experience working in quality assurance
.Strong leadership skills;
- Experience in large and complex programs;
- Professional proficiency in the English language (verbal and written);
- Excellent communication skills;
- Strong organizational skills and attention to detail;
- Ability to work in a team;
- Must be proficient in MS Word and Excel.
PREFERRED QUALIFICATIONS:  
- Experience with USAID or other large international donors;
- Experience working in cross-cultural environments;
- Work experience in the Middle East;
- Professional proficiency in Arabic.",False
Teacher of Information Technologies,"Military Institute is looking for a Teacher of
Information Technologies.",,"- University degree;
- Working experience of at least 3 years; 
- Knowledge of Windows, Ms-Office, programming (V. Basic).
REMUNERATION:  40 - 45000 drams",False
Cashier,"MDF Kamurj is currently looking to recruit a Cashier
for its Vanadzor branch. The Cashier will do bank transactions, accept
loan repayments, disburse loans in Vanadzor branch and it's program
areas. S/he will maintain cash flow according to existing policy and
procedures.",,"- Minimum 1 year cashier experience;
- Excellent communication and interpersonal skills;
- Ability to work as a team member;
- Excellent knowledge of Armenian language;
- Experience in working with computers is desirable.",False
Medical Monitor,"International Relief and Development (IRD) Armenia
Branch seeks a qualified individual to fill in a position of a Medical
Monitor to monitor the implementation of Essential Medical Commodities
Distribution Program.",,"- Medical background and at least 2 years of experience as a medical
doctor are required. 
- Working knowledge of English and computer skills (MS Word and Excel).
- Flexible for extensive travel to marzes.
- Experience with International NGOs will be an asset.
- Excellent analytical and organization skills. Ability to think
critically and creatively.
- Excellent interpersonal skills, including patience, diplomacy,
willingness to listen and respect colleagues. Must be capable for
working both individually and as a part of a team.
- Ability to work effectively in fast-paces, stressful environment. Must
be flexible and willing to perform other duties and work irregular
hours.",False
"Telephone Operator, FSN-4; FP-AA*","Provides Telephone operator/ receptionist service to
all sections of the U.S. Embassy in Yerevan. Operates the Embassy Base
Station radio, assists with vehicle dispatch duties after normal Embassy
duty hours. Operates the Embassy facsimile machine. Periodically assists
in the mail Room or as the IRM Secretary.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61",,"NOTE: All applicants are instructed to
address each selection criterion detailed below with specific and
comprehensive information supporting each criteria.
- Completion of high school is required;
- Two years experience as a Telephone Operator or Receptionist is
required;
- Level III (good working knowledge) English. Fluency in Armenian;
- Must be skilled in using a tactful and diplomatic manner when dealing
with all levels of Embassy personnel;
- Must be able to work unusual work hours, to include shift work.
SELECTION PROCESS:   When equally qualified, Eligible Family Members and
U.S. Veterans will be given preference. Therefore, it is essential that
all candidates address the required qualifications above in the
application. 
ADDITIONAL SELECTION CRITERIA: 
1. Management will consider nepotism/ conflict of interest, budget, and
visa status in determining successful candidacy.
2. Current employees serving a probationary period are not eligible to
apply.
3. Currently employed AEFMs who hold a FMA appointment are ineligible to
apply for advertised positions within the first 90 calendar days of
their employment.  
REMUNERATION:  *EFM/MOH/NOR: Position Grade: FP-AA to be confirmed by
Washington
*Ordinarily Resident: Position Grade: FSN-4",False
English as a Second Language/ TOEFL/ TWE/ TSE Instructors,"We are looking for dynamic and creative ESL/ TOEFL/
TWE/ TSE instructors willing  to teach written and spoken English to
Armenian nurses and help them master TOEFL/ TWE/ TSE exam taking skills.",,"Ideal candidates will  have lived or studied
in the United States or in another English speaking  country for at
least four years. Individuals who have scored 600 or above on the TOEFL
exam (or 250 on the computerized TOEFL) will be considered as well.
REMUNERATION:  Negotiable",False
Programs Manager,"Armenian Caritas is seeking an experienced Programs
Manager to lead the development of programs and coordinate the design,
documentation, monitoring, and evaluation of program activities for the
purpose of assuring the ongoing quality. He/she will be fully aware of
all aspects of all projects and will provide leadership and guidance to
the program team (Project Managers and Project Staff).","- Monitor the overall programs performance and impact and coordinate the
various Project activities;
- Develop indicators and procedures for each project with each project
manager;
- Provide input into project design and implementation of AC programs;
- Provide effective program leadership and guidance to the project
managers;
- Prepare the fiscal year operational plans and ongoing strategic
planning to insure project initiatives remain appropriate, responsive,
high in quality, focused and realistic;
- Ensure the collection of appropriate baseline, data collection and
surveillance systems for enhanced operational efficiency and
effectiveness;
- Evaluate the evolving status of the beneficiary population, verifiable
measurements of achievements against program objectives;
- Prepare implementation plans with project managers that measure
quantitative and qualitative accomplishment of objectives;
- Ensure that monthly and mid-term reports reflect verifiable
measurement impact and accomplishment in accordance with the
implementation plan;
- Prepare executive summery report for board meetings;
- Conduct project evaluations for maintaining quality, relevance and
impact;
- Monitor initiatives with the Project Managers;
- Regular field visits to various project sites for the purpose of
project evaluation/ monitoring;
- To organize trainings for the technical personnel in the areas of
project design and implementation;
- Work with the Executive Director and Finance Manager to monitor fiscal
year expenditures in relation to the accomplishment of project
objectives;
- Supervise the Project Managers and the projects staff;
- Recommend trainings that would enhance the capacity of the program
team;
- Assure timely and quality reporting on to the partnership and donors;
- Report on the progress of projects and initiatives to the Executive
Director and PR Responsible;
- Liaise with Donors, for program orientation, acquisition of resources
and other issues;
- Assure good collaboration with all donors, international and local
NGOs and community entities.","- At least five years of practical experience in relevant field;
- Experience in program monitoring and evaluation;
- Ability to work in a team structure and operate efficiently;
- Excellent leadership and decision-making skills;
- Experience in writing proposals, project documentation, reporting and
program information for donors;
- Excellent verbal and written communication skills in both English and
Armenian languages;
- Excellent computer skills including Internet usage;
- Excellent interpersonal, communication and co-operation skills.",False
Proposal Writer,"Armenian Caritas seeks to hire a full-time Proposal
Writer to develop and design the new projects and help the organization
to achieve its strategic goals.","- Researching funding sources, developing and writing proposals in
collaboration with Program Managers and other staff members; 
- Preparing grant applications and supporting documentation (charts,
maps, slides, photographs and other visual aides) to ensure compliance
with funding requirements, including researching demographic,
statistical and factual data necessary for the applications, in all
areas; 
- Maintaining records for grants for compliance with applicable
regulations and policies; 
- Assisting in the implementation of the organization's strategic goals
related to the program development; 
- Lending assistance as needed with other development tasks, such as
special events and donor solicitation; 
- Attending meetings with senior staff.","- Five years related work experience, preferably in the fields of
community development; 
- University Diploma; 
- Knowledge of principles, problems and methods of grant proposal
writing; 
- Strong analytical, writing, and verbal skills in both English and
Armenian languages;
- Training in grant writing; 
- Excellent computer skills including Internet usage; 
- Excellent interpersonal, communication and co-operation skills.",False
English Language Conversation Partners,"We are looking for volunteers, who are fluent in
conversational English, to help Armenian nurses to learn standard
American spoken English. 
REMUNERATION:  Negotiable",,,False
Accountant,"SEF International, a growing universal credit
organization in Armenia, is looking to recruit qualified and experienced
Accountant for its Sisian branch. This position will carry out routine
accounting and financial reporting for the branch as well as handling
credit-related information.",,"- University degree or respected certificate in Finance or Accounting;
- At least three years of relevant experience in micro-finance or
banking field;
- At least two years of relevant experience in reporting to tax
authorities;
- Proven knowledge of Generally Accepted Accounting Principles,
International and Armenian Accounting Standards;
- Ability to financial data processing;
- Skills in fiscal reporting, ability to resolve taxation issues;
- Practical knowledge of financial systems and internal controls in
Armenia;
- Analytical skills and good attention to details;
- Computer literacy and working knowledge of word processor and
spreadsheet applications; knowledge of Sun Systems is preferred;
- Ability to work in a team and with multi-national staff;
- Verbal and written communication skills in Armenian, professional
proficiency in English and Russian;",False
Trainers/ Consultants and Moderators/ Facilitators,"T&D is looking for Trainers/ Consultants and
Moderators/ Facilitators in business and management spheres with
comprehensive experience in the related fields for further cooperation
with them.
RESPONSIBILITIES:  Provides instructional, facilitation and consultation
services for ""Training & Development"" clients.",,"- Training experience;
- Relevant education in business and management field;
- Ability to work with people and prepare rapports.",False
Chief/ Supervisor of Programs Department,"The candidate will work for the promotion and
development of the company's activities. The Supervisor will also work
in close collaboration with special departments and be responsible for
their monitoring. The candidate will supervise and organize programs,
develop work plans and perform other duties project requires.","- Overall management of operation and direction of the department;
- Manage project staff and subcontractors;
- Develop and implement work plans;
- Develop and maintain a strong professional relationship and ensure
accurate documentation of communications and instructions.","- Experience in one or more of the following areas: art design, film
production, TV and/or radio program production;
- Strong project leadership/ management experience with a multi-skilled
team;
- At least one year working experience with international agencies/
companies;
- Master's degree (MA), Master of Art in Film production (or similar
area) preferred;
- Analytical and organizational skills, strong communication and public
speaking skills;
- Advanced MS Office and Internet user; other computer skills are an
advantage; 
- Bilingual knowledge of Armenian and Russian languages, English -
fluent, are a must, additional knowledge of French is preferred.
PREFERRED QUALIFICATIONS:  
- Demonstrated strong personal management and inter-personal skills and
proven ability to train, mobilize and direct staff;
- Experience in fundamental project management skills around project
planning, project controlling, estimating, staffing and project budget
management;
- Must have solid experience and skills in the technical aspects; 
- Effective management, leadership and team interaction skills,
including the ability to plan and organize work for others, to make
formal and informal presentations, and to communicate effectively at
multiple levels;
- Must be self-directed and have a track record of meeting project
deadlines;
- Strong consulting skills as well as previous consulting experience.",False
Manufacturing Chief,"We are seeking a Manufacturing Chief, a professional
who has diverse experience in all aspects of manufacturing of
mechanical, electromechanical and electrical equipment. He will be
responsible for all the processes the raw material will go through,
until it is converted to finished products. He will also be responsible
for keeping the manufacturing equipment maintained, in order to secure
the quantity and quality of what is manufactured. He will report
directly to the Executive Director.","- To manage all manufacturing functions in the following processes:
- Machining - Lathes (manual and CNC); Milling machines (manual and
CNC);
- Grinding - Grinders (manual and CNC);
- Gear manufacturing - Gear cutting machines (gear shaping, cutting,
shaving);
- Welding - Arc, MIG, TIG;
- Heat treating - Induction Heat Treating - Case hardening - Deep
hardening;
- Plating and Finishing - Chrome plating - Anodizing - Black oxide
depositing;
- Painting - Wet paint - Powder coating;
- Chemical etching;
- Electrical systems manufacturing - Integration of control Systems,
Wiring, Integration of Servo Systems;
- Assembly (Mechanical, electrical, pneumatic and hydraulic) of final
products;
- Production Control and Process management: Starting from raw materials
to handing the finished products for shipping to the customer;
- Managing Statistical Process Control on the production floor;
- Managing the maintenance of the manufacturing equipment;
- Managing the educational efforts in the company's apprenticeship
program.
ADDITIONAL RESPONSIBILITIES:  
- Participates in engineering reviews of product design and
manufacturability;
- Advisor to the Executive Director;
- Participates in Industrial Shows, representing the company, whenever
the need arises;
- Attends training classes as required.","- Degree in Mechanical Engineering or related Engineering fields;
- Fifteen years minimum experience managing component and equipment
manufacturing in a modern manufacturing environment;
- Ability to work as a member of a team where he has to interact with
many departments in the firm;
- Computer literate with Intermediate user understanding of Microsoft
office Suite and AutoCAD programs;
- Fluent in English, Russian and Armenian languages;
- Must have good communication skills, verbal and written;
- Knowledge of Tool and Die work, Precision sheet metal work and
Injection molding work would be a plus.
REMUNERATION:  Salary-500 USD to 1000 USD, equal to AMD per month.",False
Driver,"IntraHealth International/ Prime II project in
Armenia is seeking a driver to work in Lori Marz and Yerevan offices.","- Drive office personnel when needed;
- Take care of day-to-day maintenance of the vehicle;
- Maintaining of vehicle log book;
- Perform other related duties as required;
- Drive extensively.","- University degree; driver's valid license (B, C);
- Five years work experience as a driver with international
organizations;
- Working knowledge of English and Russian, very good knowledge of
Armenian;
- High sense of responsibility and alertness;
- Good knowledge of the area and current condition of roads and
highways;
- Tact and ability to work effectively with people;
- Ability to work in the evenings when necessary;
- Technical understanding of the vehicle in order to take care of its
day-to-day maintenance, arrange and supervise repair works;
- The applicant should have permanent residence in Yerevan and Lori Marz
(Vanadzor);
- Health status: good;
- Age: 30 - 50.",False
General Manager,Teleplus LLC is looking for a General Manager.,"- Manage and control the company's activities in Armenia;
- Suggest, modify and secure the realization of corporate policies;
- Promote efficiently the image, products and services of the company;
- Develop beneficial cooperation with old and new customers;
- Create mutually beneficial alliances with local authorities.","- Degree in Business Administration or Technological field;
- Postgraduate degree will be considered as a plus;
- Previous work experience in a relevant position;
- Perfect command of English and computers;
- Knowledge of Greek language will be considered as a plus;
- Dynamic and ambitious personality;
- Managing and organizing skills;
- Team spirit.",False
Experts,"PLS RAMBOLL Management is looking for Experts for
""Further deepening of democratic reforms in Uzbekistan""- EU Tacis funded
project. The team of experts will work with the Chairman of the Oliy
Majlis Committee on Legislation and Judiciary and a broad range of other
beneficiaries to the project including among many others the Oliy Majlis
Secretariat and Committees on Press and Information, Reforming Economy
and Entrepreneurship and Social Issues and Employment. The project
should also provide technical assistance and policy advice to establish
a system and joint procedures and interaction mechanisms between the
Oliy Majlis, the Constitutional Court and the Supreme Court of
Uzbekistan.",,"- A team leader (minimal input: 396 working days);
- Minimum 10 years of expertise in legal and administrative reform,
preferably in Central and East European Countries (CEECs) or Central
Asian countries;
- University degree, preferably in Law, Economics, Political Science or
Public Administration and relevant professional experience in
application of qualifications;
- Strong proven project management capabilities and proven ability in
liaising successfully with institutions in transition countries;
- Professional experience of managing international, multi-disciplinary
teams of specialists, preferably in NIS or Eastern Europe countries;
- Excellent communication skills;
- Fluent in written and spoken English;
- Knowledge of Uzbek/ Russian would be an advantage.
We have also vacant positions for short-term Experts and they must have:
- Minimum of 5 years of expertise as long-term or short-term expert in
the legal and administrative reform processes, preferably in settings
similar to Uzbekistan;
- University degree in Law - or similar qualifications or experience
within legal issues;
- Previous experience in the legislative drafting process;
- Knowledge within the fields of comparative jurisprudence and
constitutional law, organisational work of parliaments with bicameral
system, civil society, democracy and human rights issues, or public
awareness, information and IT; 
- Proven excellent communication skills;
- Proven training delivery skills;
- Fluent in written and spoken English;
- Knowledge of Uzbek/ Russian would be an advantage.",False
"Online Business Associates (part time, work from home)","The company WEB PROJECT is currently seeking
qualified candidates for positions of associates in work-online
business.","- Place web announcements in the Internet;
- Check the e-mails, process the correspondence and answer to client
e-mails;
- Create and operate client database sheets;
- Receive and send parts of the ITN project to clients.","- PC proficiency in the level of a user;
- Regular Internet access;
- Working knowledge of MS Office (Word, Excel), E-mail, Internet;
- Fluency in Russian and English languages;
- Must be able to work online at any time at discretion.
REMUNERATION:  500-1000 USD starting monthly earnings.",False
Loan Promoter,"Fund ""Kamurj"" is currently looking to recruit a Loan
Promoter for its Sisian branch.",,"Applicants must be up to 40 years old and live
in Sisian.",False
Country Director,"The Country Director is responsible for maintaining
American Councils for International Education: ACTR/ ACCELS
organizational relations in Armenia, overseeing internal operations in
the Yerevan office, and providing oversight of student, undergraduate,
graduate, post-graduate, and teacher and professional development
exchange programs.","Primary responsibilities include: recruitment and
testing of potential program participants; orientation and coordination
of logistics for participants; oversight of administrative and finance
functions; supervision and delivery of alumni programming; and liaison
with government officials. The Country Director reports to the Acting
Regional Directors for the South Caucasus and works with
Washington-based program managers and field-based program officers. 
Oversight and Leadership: 
- Provides overall supervision of American Councils programs in Armenia
by communicating, as needed, with Yerevan-based staff 
members concerning academic, operational, and other policy matters as
affected by the region's political, economic and cultural conditions;
- Represents American Councils as related to all programs in individual
consultations, public appearances, and meetings with potential and
existing partners;
- Maintains American Councils organizational relations in Armenia with
relevant US government offices and institutions (the US embassy/
consulate, PAS, USAID, and other US government agencies); with the
Armenian government and private institutions (government ministries,
agencies and offices; national corporations; American Councils'
institutional partners); with the in-country offices of American
organizations and foundations; and, with the international and domestic
press;
- Communicates regularly with, and makes recommendations to the Acting
Regional Directors on general program matters, on perceptions of
American Councils administered programs and on the influence of local
conditions on administration of programs in Armenia;
- Participates actively in developing new programs, seeking new funding
sources, and enhancing external relations.
Administration and Finance: 
- Oversees American Councils internal operations;
- Coordinates the activities of program staff; and advises staff on
American Councils policies and employment matters;
- Manages all general office administrative matters such as negotiating
contracts; interacting with landlords, maintaining proper work
environment, etc.;
- Provides DC office with finance reports monthly, and budgets every six
months; monitors all outgoing and incoming funds;
- Oversees tracking of all applicant and participant files;
- Hires for approved positions, prepares contracts and maintains files
for host-country national staff, trains and oversees staff, 
conducts performance reviews, monitors proper submission of timesheets.
Program Administration: 
- Oversees and assists in organizing, implementing and reporting on
activities, including recruitment and alumni activities delivered by
host country offices;
- Monitors all recruitment activities to assure timely and proper
conduct of competitions;
- Conducts recruitment, including advertising, lectures, interviews with
finalist candidates, testing, correspondence, and meetings with parents,
applicants and finalists, and those not selected;
- Coordinates alumni activity planning and delivery of appropriate
activities for alumni of all programs, oversees alumni assistants and
alumni fellows, coordinates updates to alumni information, submits
regular reports on alumni activity;
- Coordinates appropriate contributions to recruitment and alumni
activities from alumni, host-country national assistants, and Americans;
- Meets with ministry and US government officials regularly to provide
appropriate information and overview of the competition process and
alumni activities; keeps them informed of changes regarding the
competition;
- Coordinates and supervises all logistics for events: meeting flights,
transporting to hotels, organizing support staff, registering
participants, providing support to dignitaries and guests.",,False
Regional Director,"The Eurasia Foundation is seeking candidates to
manage a network of applied social science research and training centers
in the South Caucasus.The CRRC centers offer training in modern social
science research methodologies and house key bibliographic and online
resources for policy-oriented research in the social sciences. Centers
also work to promote regional networking for researchers and
cross-border dialogue on the policy implications of research on key
issues.","The Regional Director is responsible for ongoing
program management, budgeting and fundraising, strategy formulation and
overall program development for the network of three centers in Tbilisi,
Baku and Yerevan.","Candidates should have a minimum 5-8 years
senior project management or supervisory experience and should hold an
M.A. or higher degree in public policy, management, law, or social
science. Candidates must be willing to work in and travel across the
South Caucasus.",False
Administrative Assistant/ Secretary,"ACH's Armenia Mission is seeking to employ a
Administrative Assistant/ Secretary for the Sisian Base office.","- To welcome visitors;
- To organize and follow up switches between Sisian base and Yerevan;
- To organize, transmit and follow up all phone and fax communications
in the base;
- To organize appointments and visits in the base;
- To make all copies required for the team;
- To maintain office supply;
- To do written and oral translation English-Armenian, Armenian-English;
- To perform other duties as required.","- Minimum two years relevant professional experience;
- Good sense of organisating;
- Good knowledge of computer (Word, Excel);
- Fluent in English, Russian;
- Good communication skills.",False
Program Expert,"The SME DNC of Armenia is looking for a qualified
person to be hired on competitive basis for implementation of the Loan
Guaranties pilot project stipulated as a separate point in ""SME
Development State Support Program 2004"". The project will be extended
further depending on start-up output.","- Provide relevant information on the project;
- Run the overall procedure of loan guaranty provision;
- Maintain the data base of applications for loan guaranty extension;
- Prepare current analyses on project implementation, develop
suggestions;
- Carry out other assignments.","- Higher education in economics;
- Minimum 1 year experience preferably in loaning;
- Excellent knowledge in loaning;
- Ability to travel a lot throughout the marzes;
- Good knowledge of English;
- Excellent computer skills.",False
Project Coordinator,"The United Nations Development Programme in Armenia
announces opening for Project Coordinator for the Project ""Promoting
Human Rights and Facilitating Public Awareness of the Public Defender's
Office in Armenia. The incumbent under direct supervision of UNDP
Resident Representative will carry out overall coordination of the
Project activities.","He/she will be responsible for the following
issues:
- Leading, supervising and monitoring overall operational activities of
the Project;
- Liaising with Government entities on consultations related to the
expected commitments;
- Liaising with Donor entities on consultations related to the expected
commitments, in close cooperation with the UNDP Portfolio Manager;
- Managing financial inputs delivery and ensuring planned outputs as per
Project Document and work plan;
- Ensuring preparation of the project budget revisions, monitoring the
project budget execution;
- Establishing project administrative structures, reporting to UNDP on
financial and operational status of the Project; 
- Initiating with the Government counterparts, and in collaboration with
Donors, an assessment/ review of organisational methodologies for an
independent Public Defender's Office (in line with constitutional
developments);
- Organising regional seminars.","- Advanced University degree in human rights law, political science or
related fields;
- At least 8 years of related professional experience at national level
and at least 5 years working experience with international
organisations;
- Good knowledge of human rights situation and the legal framework of
the country;
- Ability to analyse problems, make recommendations, and present
proposals for improvement or change in policies and procedures;
- Ability to express ideas clearly and concisely, both orally and in
writing;
- Demonstrate initiative, tact and high sense of responsibility and
discretion;
- Proficiency in the usage of computers and office software package (MS
Word, Excel, Power Point) and competency in the handling of web based
management systems (Internet, Intranet);
- Fluent in English and Armenian. Knowledge of Russian is an asset.",False
Salesman / Trade agent,"- 6 days working week
- Company provides new cars (Zhiguly 06), with an opportunity to acquire
it in future.","- To distribute and display imported confectionary products on the
assigned territory. 
- To cover 150-200 trade outlets per week
- To achieve sales volume targets","- 20-35 years old
- Valid driver's license
- Minimum 1 year driving experience
- Excellent communication skills
REMUNERATION:  Starting salary: 200 USD",False
Administrative & Program Internships,,,,False
Admin/ Finance Clerk - 2004/ 001,"The United Nations World Food Programme is seeking an
Admin/ Finance Clerk for temporary assistance.","Within delegated authority, the Admin /Finance
Clerk will be responsible for the following duties: 
- Prepare and initially park the financial transactions for Yerevan
office;
- Check all invoices and supporting financial documentation for
correctness and accuracy; 
- Prepare Petty Cash vouchers and maintain Petty Cash cashbook on a
daily basis; 
- Provide information related to financial transactions; 
- Assist Administration Clerk in maintaining local Travel Authorisations
(TA) and TA register; 
- Assist Administration Clerk in general administration work; 
- Perform other related duties as required.","- University degree in economics or finance;
- Knowledge of word processing and spreadsheet software packages; 
- Very good knowledge of Armenian and English; 
- At least three years of progressively responsible clerical work
experience in the field of finance, accounting, administration or other
related field.",False
Software Developers,"We are looking for a Programmers with knowledge of
Java, Jsp, J2EE.",,"- Minimum 3 years experience of software development;
- Strong object oriented skills;
- Strong technical background in Java software development, J2EE, XML,
Web Services, SOAP;
- Strong OOA&D skills;
- Practical knowledge of UML;
- Experience with international projects;  
- Knowledge of English and German languages (not mandatory, but a big
plus).
REMUNERATION:  Depends on skills and previous experience.",True
Training and Institutional Capacity Building Specialist,"Eurecna SLR, the international consulting
organisation which has been awarded the contract by the Delegation of
the European Commission in Yerevan for the implementation of REDAM,
seeks to fill the long-term position of Training and Institutional
Capacity Building Specialist. We need an Armenian expert with extensive
experience conducting training needs analyses and institutional capacity
analyses, and developing training programmes. The candidate selected for
this position will be contracted for the next 18 months within the EU
International Team to help strengthen the capabilities of civil servants
at local, regional and central levels.
Eurecna is an equal opportunities employer.","- Assess and develop recommendations for strengthening the institutional
capabilities of regional and local administrations;
- Assess training needs of civil servants at local, regional and
national levels for improved public service delivery;
- Organise and deliver training workshops for national, regional and
local civil servants in close collaboration with the National Commission
for Civil Service and the Academy of Public Administration;
- Support the development of a civil service training policy and manual
supportive of the decentralisation process which will guarantee
continuity and sustainability in the continuous upgrade of the civil
servants skills at local, regional and central level.","- MSc. Degree in a relevant subject;
- Formal training in training needs analyses and institutional capacity
assessment methodologies;
- Extensive experience (minimum 10 years) conducting training needs
analyses and developing training programmes;
- Experience training civil servants a definite advantage;
- Fluent in English and Armenian;
- Good knowledge of decentralisation and local socio-economic issues;
- Excellent leadership and workshop facilitation skills;
- Fully computer literate a must;
- Willingness to relocate;
- Women are particularly encouraged to apply.
REMUNERATION:  Competitive
RELOCATION PACKAGE: Available",False
Community Education Campaign to Combat STIs/HIV/AIDS,,,,False
Director of Finance and Accounting,"Excellent knowledge of Accounting/Tax filing both
Central Bank and Tax Dept., budget formation, presentation and control.",,"at least 3-4 years experience in
audit/bank/lending
REMUNERATION:   negotiable",False
Accountant,"The accountant is a full-time national staff position
based in CCDI's Yerevan head office. Accountant is responsible for
overseeing the daily financial operations of the organization (1 head
office and 8 field offices).
CCDI runs double entry bookkeeping on accrual bases in compliance with
the National (International) Accounting Standards (NAS).  Accounting is
computerized. Accounting software ""OC - 1"", MS Access based double entry
bookkeeping.   Quicken also will be used for recordkeeping.  Some forms
and tables are also done in Excel.
Overall Job Functions, Major Duties, and Responsibilities
- Development and implementation of effective accounting, internal
controls, and fund control policies, procedures, and systems
- Effective preparation, maintenance, and reporting of internal and
external financial records and analyses
- Oversee the daily financial operations and performance of the
organization
- Establish and maintain effective communication and coordination with
management and field offices
- Maintain effective business relations with the bank and outside
auditors/regulatory authorities","- Manage program financial system and budget of the organization;
- Implement general and every day accounting of the organization in
accordance with the requirements of the donor organizations and in
compliance with the RoA law;
- Ensure that accurate and complete accounting, reporting and internal
control systems are functioning and that all relevant records are
maintained;
- Review expenditures (in coordination with the Executive Director) to
make sure that they are allowable;
- Initiate payment vouchers, check all invoices for accuracy and totals
as well as calculations;
- Monitor the CCDI bank accounts and keep track of balances to ensure
sufficiency of funds;
- Input data into financial databases (both Quicken and double entry
system);
- Produce annual and monthly accounts and provide regular financial
reports;
- Track (in an Excel worksheet) and report to the Executive Director
bi-weekly the organization's expenditures and provide other tracking
reports (e.g., possibly car usage) as required by the Executive
Director.
- Perform reconciliations such as bank reconciliation (monthly), petty
cash reconciliation (monthly) and fuel coupon reconciliation (monthly);
- Run various ledgers for control purposes - e.g., Contract or Purchase
Order Register; Invoice Register; Creditor Register; Cash - Book; Bank
Payment Orders Register; Employee Attendance Register; Vacation/Sick
Leave Schedule; Property, Plant and Equipment Register; General Ledger;
Car Log Register; Fuel Coupon Register; and a Power of Attorney
Register;
- Manage expenditures and payroll;
- Liaise with internal and external auditors; tax authorities and other
governmental agencies; prepare and insure timely submission of the
reports to the corresponding authorities as required by the RoA law
(quarterly Income Tax reports and Pension Fund reports, VAT reports,
annual reports etc.);
- Stay current with the RoA related legislation;
- Deal unscheduled or irregular financial issues as they arise;
- Maintain the organization's system for filing and maintaining
supporting documentation.
- Maintain employee timesheets.
- Maintain all contracts.
- Maintain inventory records, which are to be checked semi-annually with
the actual inventory.
- Keep and store separately all receipts and other documentation to
support expenses charged to each specific grant of the organization;
- Communicate daily with the Executive Director;
- Perform other duties as assigned by Executive Director.","- Written and oral fluency in English, Armenian and Russian is required;
- Advanced computer skills and competency in standard MS Office
applications as well as Email/Internet, Quicken and Accounting software
""OC - 1"";
- Essential knowledge of RA legislation (Civil and Labor Codes and Tax
legislation);
- Minimum 3 years of experience in the related field with international
and local organizations;
- Demonstrated ability to maintain confidentiality. 
- Ability to work as a team member and independently;
- Strong organizational skills and attention to details.
The above statements are intended to describe the general nature and
level of work being performed. They are not intended to be construed as
an exhaustive list of all responsibilities, duties and skills.",False
